nr,name
1,Editura Academiei Fortelor Terestre 'Nicolae Balcescu'
2,Editura M.A.I.
3,"Accent, Cluj"
4,Ars Docendi
5,C.H. Beck
6,Comunicare.ro
7,Curtea Veche
8,Editura All
9,Editura Academiei Fortelor Aeriene 'Henri Coanda'
10,Editura Centrului Tehnic-Teritorial al Armatei
11,Editura Didactica si Pedagogica RA Bucuresti
12,Editura Prouniversitaria Bucuresti
13,Editura Rao Bucuresti
14,Editura Sitech Craiova
15,Editura Sper Bucuresti
16,Editura Tehnomedia Sibiu
17,Editura Top Form Bucuresti
18,Editura Tritonic Bucuresti
19,Editura Academiei Nationale de Informatii 'Mihai Viteazul'
20,Editura Academiei Romane
21,Editura ASE
22,Editura de Vest
23,"Editura Economică, București"
24,Editura Enciclopedică
25,Editura Fundaţiei pentru Studii Europene
26,Editura Institutului de Ştiinţe Politice şi Relaţii Internaţionale – Bucureşti
27,Editura Militara
28,Editura Paideea
29,"Editura Polirom, Iași"
30,Editura Trei
31,"Editura Universitară, București"
32,Editura Universitatii din Bucuresti
33,Editura Universitatii 'Alexandru Ioan Cuza'
34,Editura Universitatii de Aparare 'Carol I'
35,Eikon
36,Hamangiu
37,Humanitas
38,Institutul European
39,Limes
40,Lumina Lex
41,Monitorul Oficial
42,Nemira
43,Presa Universitara Clujeana
44,Universul Juridic
45,Wolters Kluwer
46,World Bank
47,IMF
48,ILO
49,UNESCO
50,UNICEF
51,UNFPA
52,UNDP
53,"Edituri OECD, European Union"
54,Armand Colin
55,Bruylant
56,Collins
57,"Complexe, Bruxelles"
58,Croom Helm
59,Cujas
60,Dalloz
61,Debrecen University Press (cat. B)
62,DJOEF
63,"Éditions Actes Sud,"
64,Editions Agone
65,Éditions De Boeck
66,Editions de la Maison des Sciences de l'Homme
67,"Éditions Fayard,"
68,Editions Flammarion
69,Editions Gallimard
70,Editions Métailié
71,Editions Octarès
72,Editions Presses Universitaires du Septentrion
73,Editions Raisons d'Agir
74,Edward Elgar
75,"Einaudi,"
76,Europa Law Publishing
77,"FrancoAngeli, Milano"
78,Giapichelli
79,Giuffre
80,Harper Collins
81,Hart
82,Intellect Publishers
83,John Benjamins Publishing
84,L.G.D.J.
85,La Découverte
86,"Lambert academic publishing (LAP), Saarbrucken, Germany"
87,Larcier
88,"Leske&Budrich, Links"
89,Lexis Nexis
90,L'Harmattan
91,Mind Garden
92,Montchrestien
93,Nispacee press
94,Pearson Education
95,Pedone
96,Peter Lang
97,Piper
98,Presse Universitaires de Grenoble
99,Presses de Sciences Po
100,"Presses universitaires de Limoges, France"
101,"Quarteto, Coimbra"
102,RISE
103,"Shaker verlag, Aachen, Germany"
104,StudienVErlag
105,Vuibert
106,Wolf Legal publishers
