nr,name
1,Academic Press
2,Addison Wesley
3,Allen and Unwin
4,Blackwell
5,Brookings Institution
6,Cambridge University Press
7,Columbia University Press
8,Cornell University Press
9,CRC Press
10,Duke University Press
11,Edward Elgar
12,Elsevier
13,Emerald Group
14,Harper Collins
15,Harvard University Press
16,IEEE Computer Society
17,Indiana University Press
18,IOS Press
19,John Wiley & Sons
20,Johns Hopkins University Press
21,Kluwer Academic Press
22,Macmillan
23,McGraw-Hill
24,MIT Press
25,New York University Press
26,North Holland
27,Oxford University Press
28,Palgrave Macmillan
29,Chapman & Hall
30,Pearson Education
31,Prentice Hall
32,Presses Universitaires de France
33,Princeton University Press
34,Routledge
35,Rutgers University Press
36,Sage
37,Springer
38,Stanford University Press
39,Taylor & Francis Group
40,University of California Press
41,University of Chicago Press
42,Wiley-Blackwell
43,Wiley
44,World Scientific
45,Yale University Press
46,Vienna University Press
47,Economica
48,Dunod
49,Les Edition d'Organisation
50,ACM Press
51,De Gruyter
