nr,name,tier
1,Editura ASCR,A2
2,ASCR,A2
3,Editura Polirom,A2
4,Polirom,A2
5,Editura Trei,A2
6,Trei,A2
7,Editura Academiei Romane,B
8,Editura Academiei Române,B
9,Editura All,B
10,Editura Sper,B
11,Editura Tritonic,B
12,Tritonic,B
13,Editura Universitatii din Bucuresti,B
14,Editura Universităţii din Bucureşti,B
15,Editura Universitara,B
16,Editura Universitară,B
17,Presa Universitara Clujeana,B
18,Presa Universitară Clujeană,B
19,Editura Universitatii A.I.Cuza,B
20,Editura Universităţii A.I.Cuza,B
21,Editura Institutul European,B
22,Institutul European,B
23,Editura Universitatii de Vest,B
24,Editura Universităţii de Vest,B
