nr,name
1,A A BALKEMA PUBLISHERS
2,"A K PETERS, LTD"
3,A R G GANTNER VERLAG K G
4,ABMS-ASSOC BRASILEIRA MECANICA SOLOS ENGENHARIA GEOTECNICA
5,ACAD CONFERENCES LTD
6,ACAD BUSINESS DABROWA GORNICZA
7,ACAD PRESS SAULE
8,ACADEMIA PRESS
9,ACADEMIA SCIENTIARUM FENNICA
10,ACADEMIC PRESS
11,ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD
12,ACCENT
13,ADDISON-WESLEY PUBL CO
14,ADJURIS-SOC OF JURIDICAL & ADMINISTRATIVE SCI
15,AFRICAN MINDS
16,AFTERALL BOOKS
17,AGH-UNIV SCI & TECHNOL
18,"AICA-ARMENIA, INST CONTEMPORARY ART"
19,AKAD VERLAG / DE GRUYTER
20,AKADEMISCHE VERLAGSGESELLSCH AKA GMBH
21,ALDINE-TRANSACTION PUBLISHERS
22,ALLEN LANE
23,ALLIED PUBLISHERS LTD
24,AMBIT MEDIA AS
25,AMBRA VERLAG
26,AMER ANTHROPOLOGICAL ASSOC
27,AMER ASSOC CEREAL CHEMISTS INC
28,AMER ASSOC PHARMACEUTICAL SCIENTISTS
29,AMER ASTRONAUTICAL SOC
30,AMER CERAMIC SOC
31,AMER CHEMICAL SOC
32,AMER DENTAL ASSOC
33,AMER EDUCATIONAL RESEARCH ASSOC
34,AMER FISHERIES SOC
35,AMER GEOPHYSICAL UNION
36,AMER INST AERONAUTICS & ASTRONAUTICS
37,AMER INST CHEMICAL ENGINEERS
38,AMER INST PHYSICS
39,AMER MATHEMATICAL SOC
40,AMER METEOROLOGICAL SOCIETY
41,AMER ORNITHOLOGISTS UNION
42,AMER PHILOSOPHICAL SOC
43,"AMER PSYCHIATRIC PRESS, INC"
44,"AMER PSYCHIATRIC PUBLISHING, INC"
45,AMER SOC AGRONOMY
46,AMER SOC CIVIL ENGINEERS
47,"AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS"
48,AMER SOC MECHANICAL ENGINEERS
49,AMER SOC MICROBIOLOGY
50,AMER SOC PLANT TAXONOMISTS
51,AMER UNIV CAIRO PRESS
52,AMSTERDAM UNIV PRESS
53,"ANALYTIC PRESS, INC"
54,ANDARTA BOOKS
55,ANDERSON PUBL CO
56,ANNUAL REVIEWS
57,ANTHEM PRESS
58,AOSIS
59,APPLE ACAD PRESS INC
60,APRESS
61,ARANZADI SOC SCIENCES
62,Arc Humanities Press
63,Arc Medieval Press
64,"ARCHEOLOGICKY USTAV AV CR, PRAHA, V V I"
65,ARDEN SHAKESPEARE
66,ARIADNA EDICIONES
67,ARTECH HOUSE
68,ARTEFACTUM PUBLISHING HOUSE
69,ARTS EXTENSION SERV
70,ASCD
71,"ASCLEPION PUBLISHING, LLC"
72,ASERS PUBLISHING
73,ASHGATE PUBLISHING LTD
74,ASM INTERNATIONAL
75,ASOCIACION ESPANOLA MICOLOGIA
76,ASSOC AUSTRALASIAN PALAEONTOLOGISTS
77,ASSOC COLL RESEARCH LIBRARIES
78,ASTM INTERNATIONAL
79,ASTRONOMICAL SOC PACIFIC
80,ATENEO DE MANILA UNIV
81,ATHABASCA UNIV PRESS
82,ATLANTIS PRESS
83,"AUERBACH PUBLICATIONS, TAYLOR & FRANCIS GROUP"
84,AUSTRALASIAN INST MINING & METALLURGY
85,AUSTRALIAN CENTRE INT AGRICULTURAL RESEARCH
86,AUSTRALIAN GOVT PUBL SERV
87,AUSTRALIAN NATL UNIV
88,AUSTRIAN ACAD SCIENCE PRESS
89,"BALTIC MARINE ENVIRONM PROTECTCOMMISS, HELSINKI COMMISSION"
90,BANCO REPUBLICA-CENTRAL BANK COLOMBIA
91,BAYLOR UNIV
92,BAYWOOD PUBLISHING CO INC
93,"BEGELL HOUSE, INC"
94,BENTHAM SCIENCE PUBL
95,BERG PUBLISHERS LTD
96,BIELEFELD UNIV PRESS
97,BIRKBECK LAW PRESS
98,BIRKHAUSER
99,BIRKHAUSER BOSTON
100,BIRKHAUSER VERLAG AG
101,BLACKWELL PUBL
102,BLACKWELL SCIENCE PUBL
103,BLOOMSBURY ACADEMIC
104,BLOOMSBURY EDUCATION
105,BLOOMSBURY METHUEN DRAMA
106,BLOOMSBURY PUBL INC
107,BLOOMSBURY T & T CLARK
108,BLOOMSBURY VISUAL ARTS
109,BLOOMSBURY WILDLIFE
110,BOHN STAFLEU VAN LOGHUM
111,BOLYAI JANOS MATEMATIKA TARSULAT
112,BOSQUE UNIV
113,BOTANIC GARDEN MEISE-JARDIN BOTANIQUE MEISE
114,BRANDEIS UNIV PRESS
115,BREPOLS PUBLISHERS
116,BRILL
117,BRILL NIJHOFF
118,BRILL RODOPI
119,BRILL SENSE
120,BRISTOL UNIV PR
121,BRITISH FILM INST
122,BRITISH PSYCHOLOGICAL SOC
123,BROOKINGS INST
124,BROOKS / COLE PUBL CO
125,"BULGARIAN ACAD SCIENCES, INST BALKAN STUDIES & CENTRE THRACOLOGY"
126,BULLETIN ASIA INST
127,BURKE MUSEUM NATURAL HISTORY & CULTURE
128,BURLEIGH DODDS SCIENCE PUBLISHING LTD
129,BUTTERWORTH-HEINEMANN
130,C E R N
131,C P GILLETTE MUSEUM ARTHROPOD DIVERSITY
132,CA PRESS
133,CABI PUBLISHING-C A B INT
134,CAISTER ACADEMIC PRESS
135,CAMBRIDGE INTERNATIONAL SCIENCE PUBLISHING
136,CAMBRIDGE PHILOLOGICAL SOC
137,CAMBRIDGE SCHOLARS PUBLISHING LTD
138,CAMBRIDGE UNIV PRESS
139,CAMEL PUBLISHING HOUSE
140,CAMPUS VERLAG
141,CARMELITE PUBL HOUSE LTD
142,CASA EDITRICE SCIENTIFICA INTERNAZIONALE
143,CATENA SOIL SCIENCES
144,CBS-KNAW FUNGAL BIODIVERSITY CENTRE
145,CENAA-CENTRE EUROPEAN & NORTH ATLANTIC AFFAIRS
146,CENTER BASQUE STUDIES
147,CENTER PHILOSOPHY SCIENCES UNIV LISBON
148,CENTER STUDY DEMOCRACY
149,CENTER TAXATION RESEARCH COLOMBIAN INST TAX LAW
150,CENTRAL EUROPEAN UNIV PRESS
151,CENTRE INFORMATION STUDIES
152,CENTRUM PRO STUDIUM DEMOKRACIE & KULTURY-CDK
153,CHANDOS PUBL
154,CHANNEL VIEW PUBLICATIONS
155,CHAPMAN & HALL/CRC PRESS
156,CHARLES UNIV PRAGUE
157,"CHARLES UNIV, FAC SCIENCE"
158,CHARTERED INST MANAGEMENT ACCOUNTANTS
159,CHEMICAL INDUSTRY PRESS
160,CHEMTEC PUBLISHING
161,CHINESE UNIV HONG KONG PRESS
162,CIE CENTRAL BUREAU
163,CLAME-COMITE LATINOAMERICANO MAT EDUC
164,CODON PUBLICATIONS
165,COLD SPRING HARBOR LABORATORY PRESS
166,COLOMBIAN OBSERVATORY SCIENCE & TECHNOLOGY
167,COLUMBIA UNIV PRESS
168,"COMENIUS UNIV BRATISLAVA, DEPT ARCHAEOLOGY"
169,COMPUTATIONAL MECHANICS PUBLICATIONS LTD
170,"COMUNE UDINE, MUSEO FRIULANO STORIA NATURALE"
171,CONCHBOOKS
172,"CONSEJO SUPERIOR INVESTIGACIONES CIENT, CSIC"
173,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS
174,CONSERVATOIRE & JARDIN BOTAN VILLE GENEVE
175,CONTINUUM INT PUBLISHING GROUP
176,COOPER ORNITHOLIGICAL SOCIETY
177,"COPERNICUS AN IMPRINT OF SPRINGER, NY"
178,COR JESU PUBL HOUSE
179,CORILA
180,CORNELL UNIV PRESS
181,CRC PRESS-BALKEMA
182,CRC PRESS-TAYLOR & FRANCIS GROUP
183,CROATIAN ACAD SCIENCES & ARTS
184,CROATIAN ACADEMY ENGINEERING
185,CROP SCIENCE SOC AMER
186,CSIRO PUBLISHING
187,CUADERNOS DE ANUARIO FILOSOFICO
188,"CZECH ACAD SCIENCES, PRAGUE, INST ARCHAEOLOGY"
189,CZECH TECHNICAL UNIV PUBLISHING HOUSE
190,DAIREA EDICIONES
191,DARLINGTON PRESS
192,DARTMOUTH COLLEGE PRESS
193,DAS ES SALAAM UNIV PRESS LTD
194,DAVID FULTON PUBL LTD
195,DE G PRESS
196,DE GRUYTER AKAD FORSCHUNG
197,DE GRUYTER MOUTON
198,DE GRUYTER OLDENBOURG
199,DE GRUYTER OPEN LTD
200,DE GRUYTER SAUR
201,DEMOS MEDICAL PUBLICATIONS
202,DEPT FISHERIES & OCEANS FISH HABITAT MANAGEMENT BRANCH
203,"DESTECH PUBLICATIONS, INC"
204,DEUTSCHEN GESELL ALLGEMEINE & ANGEWANDTE ENTOMOLOGIE
205,DEUTSCHER KUNSTVERLAG BERLIN
206,DEUTSCHES GRUNES KREUZ E V-GERMAN GREEN CROSS
207,DOLLING UND GALITZ VERLAG
208,DUKE UNIV PRESS
209,DUNEDIN ACAD PRESS LTD
210,DUQUESNE UNIV PRESS
211,E D P SCIENCES
212,E SCHWEIZERBART'SCHE VERLAGSBUCHHANDLUNG
213,EARTHSCAN PUBLICATIONS LTD
214,EAST-WEST CENTER
215,ECOLE POLYTECHNIQUE
216,ECPR PRESS
217,EDICIONES UCSC-UNIV CATOLICA SANTISIMA CONCEPTION
218,EDICIOS CASTRO
219,EDINBURGH UNIV PRESS
220,Edition Sigma
221,EDITIONS RODOPI B V
222,EDITIONS TECHNIP
